L	seed	QK_sat	any_sat	sat_stages	result	Q_abs	K_abs	mean_maxp
16	1	no	no	none	PASS	78	89	0.208
16	2	no	no	none	PASS	81	87	0.224
16	3	no	no	none	PASS	87	77	0.356
16	4	no	no	none	PASS	75	76	0.241
16	5	no	no	none	PASS	73	83	0.193
32	1	no	no	none	PASS	78	95	0.129
32	2	no	no	none	PASS	85	87	0.151
32	3	no	no	none	PASS	88	77	0.193
32	4	no	no	none	PASS	107	99	0.150
32	5	no	no	none	PASS	78	83	0.136
64	1	no	no	none	PASS	93	95	0.080
64	2	no	no	none	PASS	85	88	0.099
64	3	no	no	none	PASS	103	86	0.117
64	4	no	no	none	PASS	107	105	0.109
64	5	no	no	none	PASS	84	83	0.088
128	1	no	no	none	PASS	93	100	0.051
128	2	no	no	none	PASS	92	91	0.060
128	3	no	no	none	PASS	108	91	0.070
128	4	no	no	none	PASS	107	105	0.063
128	5	no	no	none	PASS	87	88	0.058
256	1	no	no	none	PASS	93	100	0.031
256	2	no	no	none	PASS	107	91	0.035
256	3	no	no	none	PASS	108	108	0.047
256	4	no	no	none	PASS	107	105	0.041
256	5	no	no	none	PASS	98	100	0.039
