L	seed	saturation	result	Q_max_abs	K_max_abs	scores_max_abs
16	1	no	PASS	110	110	39
16	2	no	PASS	113	108	33
16	3	no	PASS	122	96	44
16	4	no	PASS	105	95	31
16	5	no	PASS	102	103	25
32	1	no	PASS	110	118	41
32	2	no	PASS	119	108	46
32	3	no	PASS	124	96	45
32	4	yes	PASS	128	124	33
32	5	no	PASS	109	103	30
64	1	yes	PASS	127	118	42
64	2	no	PASS	119	110	46
64	3	yes	PASS	128	107	55
64	4	yes	PASS	128	128	54
64	5	no	PASS	118	103	38
128	1	yes	PASS	128	124	46
128	2	yes	PASS	128	113	50
128	3	yes	PASS	128	113	61
128	4	yes	PASS	128	128	59
128	5	no	PASS	122	110	50
256	1	yes	PASS	128	124	50
256	2	yes	PASS	128	113	50
256	3	yes	PASS	128	127	61
256	4	yes	PASS	128	128	60
256	5	yes	PASS	127	125	55
