L	seed	res1_preclip	rms1_in	rms1_out_preclip	res2_preclip	rms2_in	rms2_out_preclip	any_sat	result
16	1	67.000	67.000	95.502	98.000	98.000	96.356	no	PASS
16	2	65.000	65.000	102.608	100.000	100.000	99.659	no	PASS
16	3	65.000	65.000	105.589	107.000	107.000	106.080	no	PASS
16	4	63.000	63.000	100.814	104.000	104.000	102.791	no	PASS
16	5	64.000	64.000	97.544	99.000	99.000	99.060	no	PASS
32	1	66.000	66.000	98.758	98.000	98.000	99.038	no	PASS
32	2	65.000	65.000	102.697	100.000	100.000	99.777	no	PASS
32	3	65.000	65.000	106.239	107.000	107.000	106.625	no	PASS
32	4	65.000	65.000	100.662	104.000	104.000	102.950	no	PASS
32	5	64.000	64.000	99.709	103.000	103.000	102.075	no	PASS
64	1	66.000	66.000	106.973	107.000	107.000	106.601	no	PASS
64	2	65.000	65.000	106.647	108.000	108.000	106.638	no	PASS
64	3	65.000	65.000	109.340	109.000	109.000	109.494	no	PASS
64	4	65.000	65.000	109.521	110.000	110.000	110.706	no	PASS
64	5	65.000	65.000	100.146	102.000	102.000	101.380	no	PASS
128	1	65.000	65.000	111.213	112.000	112.000	112.067	no	PASS
128	2	65.000	65.000	122.829	122.000	122.000	121.670	no	PASS
128	3	65.000	65.000	126.110	128.000	127.000	127.052	no	PASS
128	4	65.000	65.000	109.560	110.000	110.000	110.915	no	PASS
128	5	65.000	65.000	109.585	109.000	109.000	108.459	no	PASS
256	1	65.000	65.000	121.957	119.000	119.000	120.581	no	PASS
256	2	66.000	66.000	122.829	122.000	122.000	121.670	no	PASS
256	3	65.000	65.000	127.198	129.000	127.000	127.479	no	PASS
256	4	65.000	65.000	129.510	129.000	127.000	127.494	yes	PASS
256	5	66.000	66.000	109.566	109.000	109.000	108.668	no	PASS
