L	seed	QK_sat	any_sat	result	Q_max_abs	K_max_abs	scores_max_abs	mean_entropy	mean_maxp
16	1	no	no	PASS	78	89	22	2.430	0.208
16	2	no	no	PASS	81	87	19	2.432	0.224
16	3	no	no	PASS	87	77	25	2.103	0.356
16	4	no	no	PASS	75	76	18	2.343	0.241
16	5	no	no	PASS	73	83	14	2.488	0.193
32	1	no	no	PASS	78	95	24	3.133	0.129
32	2	no	no	PASS	85	87	26	3.046	0.151
32	3	no	no	PASS	88	77	26	2.902	0.193
32	4	no	no	PASS	107	99	19	3.069	0.150
32	5	no	no	PASS	78	83	17	3.111	0.136
64	1	no	no	PASS	93	95	24	3.814	0.080
64	2	no	no	PASS	85	88	26	3.736	0.099
64	3	no	no	PASS	103	86	32	3.602	0.117
64	4	no	no	PASS	107	105	31	3.673	0.109
64	5	no	no	PASS	84	83	22	3.765	0.088
128	1	no	no	PASS	93	100	26	4.492	0.051
128	2	no	no	PASS	92	91	29	4.427	0.060
128	3	no	no	PASS	108	91	36	4.306	0.070
128	4	no	no	PASS	107	105	34	4.375	0.063
128	5	no	no	PASS	87	88	29	4.408	0.058
256	1	no	no	PASS	93	100	29	5.174	0.031
256	2	no	no	PASS	107	91	29	5.112	0.035
256	3	no	no	PASS	108	108	36	4.982	0.047
256	4	no	yes	PASS	107	105	34	5.039	0.041
256	5	no	no	PASS	98	100	32	5.062	0.039
