gain	L	seed	worst_H_norm	at_q	max_w_at_worst	logit_range_at_worst	mean_H_norm	mean_max_w	flagged_uniform	flagged_flat_maxw	result
0.33974210	16	1	0.948	0	0.128	1.833	0.876	0.208	9	0	PASS
0.33974210	16	2	0.959	1	0.123	1.667	0.877	0.224	9	2	PASS
0.33974210	16	3	0.948	10	0.168	2.000	0.758	0.356	4	0	PASS
0.33974210	16	4	0.960	15	0.116	2.000	0.845	0.241	4	1	PASS
0.33974210	16	5	0.975	8	0.122	1.333	0.897	0.193	10	3	PASS
0.33974210	32	1	0.978	23	0.060	1.500	0.904	0.129	19	1	PASS
0.33974210	32	2	0.955	31	0.094	2.500	0.879	0.151	15	0	PASS
0.33974210	32	3	0.960	14	0.086	2.000	0.837	0.193	8	0	PASS
0.33974210	32	4	0.971	22	0.057	1.833	0.886	0.150	18	1	PASS
0.33974210	32	5	0.962	8	0.075	1.833	0.898	0.136	19	0	PASS
0.33974210	64	1	0.979	23	0.037	1.833	0.917	0.080	47	0	PASS
0.33974210	64	2	0.966	35	0.047	2.333	0.898	0.099	37	0	PASS
0.33974210	64	3	0.977	59	0.036	2.000	0.866	0.117	24	0	PASS
0.33974210	64	4	0.984	34	0.033	1.667	0.883	0.109	34	0	PASS
0.33974210	64	5	0.983	61	0.030	1.500	0.905	0.088	39	1	PASS
0.33974210	128	1	0.982	23	0.018	1.833	0.926	0.051	100	0	PASS
0.33974210	128	2	0.985	112	0.020	1.833	0.912	0.060	88	0	PASS
0.33974210	128	3	0.979	59	0.022	2.500	0.887	0.070	58	0	PASS
0.33974210	128	4	0.987	127	0.020	2.000	0.902	0.063	80	0	PASS
0.33974210	128	5	0.982	61	0.018	2.000	0.909	0.058	85	0	PASS
0.33974210	256	1	0.991	155	0.009	1.833	0.933	0.031	215	0	PASS
0.33974210	256	2	0.987	112	0.010	1.833	0.922	0.035	195	0	PASS
0.33974210	256	3	0.982	59	0.011	2.500	0.898	0.047	140	0	PASS
0.33974210	256	4	0.987	127	0.010	2.000	0.909	0.041	171	0	PASS
0.33974210	256	5	0.987	208	0.010	1.833	0.913	0.039	171	0	PASS
0.4	16	1	0.948	0	0.128	1.833	0.876	0.208	9	0	PASS
0.4	16	2	0.959	1	0.123	1.667	0.877	0.224	9	2	PASS
0.4	16	3	0.948	10	0.168	2.000	0.758	0.356	4	0	PASS
0.4	16	4	0.960	15	0.116	2.000	0.845	0.241	4	1	PASS
0.4	16	5	0.975	8	0.122	1.333	0.897	0.193	10	3	PASS
0.4	32	1	0.978	23	0.060	1.500	0.904	0.129	19	1	PASS
0.4	32	2	0.955	31	0.094	2.500	0.879	0.151	15	0	PASS
0.4	32	3	0.960	14	0.086	2.000	0.837	0.193	8	0	PASS
0.4	32	4	0.971	22	0.057	1.833	0.886	0.150	18	1	PASS
0.4	32	5	0.962	8	0.075	1.833	0.898	0.136	19	0	PASS
0.4	64	1	0.979	23	0.037	1.833	0.917	0.080	47	0	PASS
0.4	64	2	0.966	35	0.047	2.333	0.898	0.099	37	0	PASS
0.4	64	3	0.977	59	0.036	2.000	0.866	0.117	24	0	PASS
0.4	64	4	0.984	34	0.033	1.667	0.883	0.109	34	0	PASS
0.4	64	5	0.983	61	0.030	1.500	0.905	0.088	39	1	PASS
0.4	128	1	0.982	23	0.018	1.833	0.926	0.051	100	0	PASS
0.4	128	2	0.985	112	0.020	1.833	0.912	0.060	88	0	PASS
0.4	128	3	0.979	59	0.022	2.500	0.887	0.070	58	0	PASS
0.4	128	4	0.987	127	0.020	2.000	0.902	0.063	80	0	PASS
0.4	128	5	0.982	61	0.018	2.000	0.909	0.058	85	0	PASS
0.4	256	1	0.991	155	0.009	1.833	0.933	0.031	215	0	PASS
0.4	256	2	0.987	112	0.010	1.833	0.922	0.035	195	0	PASS
0.4	256	3	0.982	59	0.011	2.500	0.898	0.047	140	0	PASS
0.4	256	4	0.987	127	0.010	2.000	0.909	0.041	171	0	PASS
0.4	256	5	0.987	208	0.010	1.833	0.913	0.039	171	0	PASS
