gain	L	seed	worst_dH	at_q	H_fixed	H_gold	max_w_fixed	max_w_gold	lr_fixed	lr_gold	lr_gap	worst_dmax_w	at_q_dmax_w	mean_dH	mean_dmax_w	mean_H_fixed	mean_H_gold	flagged_vs_gold	flagged_diffuse	result
0.33974210	16	1	0.006	6	0.870	0.865	0.256	0.261	3.333	3.417	-0.084	-0.009	4	-0.001	0.001	0.876	0.877	0	0	PASS
0.33974210	16	2	0.007	14	0.803	0.795	0.299	0.315	3.667	3.786	-0.120	-0.016	14	-0.001	0.003	0.877	0.878	0	0	PASS
0.33974210	16	3	0.015	9	0.717	0.702	0.486	0.504	4.500	4.637	-0.137	-0.018	9	-0.001	-0.001	0.758	0.759	0	0	PASS
0.33974210	16	4	0.011	0	0.758	0.747	0.396	0.410	5.500	5.540	-0.040	-0.019	14	0.002	-0.005	0.845	0.843	0	0	PASS
0.33974210	16	5	0.007	14	0.834	0.827	0.297	0.318	3.167	3.204	-0.037	-0.021	14	0.000	-0.002	0.897	0.897	0	1	PASS
0.33974210	32	1	0.006	30	0.868	0.862	0.212	0.222	4.500	4.509	-0.009	-0.010	30	0.000	-0.001	0.904	0.904	0	0	PASS
0.33974210	32	2	0.011	25	0.556	0.546	0.436	0.458	8.000	8.134	-0.134	-0.022	25	0.000	0.000	0.879	0.880	0	1	PASS
0.33974210	32	3	0.006	19	0.884	0.879	0.168	0.173	3.333	3.433	-0.100	-0.013	9	-0.002	0.002	0.837	0.840	0	0	PASS
0.33974210	32	4	0.012	25	0.758	0.745	0.365	0.380	5.000	5.074	-0.074	-0.015	14	0.001	-0.002	0.886	0.884	0	0	PASS
0.33974210	32	5	0.005	11	0.913	0.909	0.131	0.139	3.167	3.238	-0.072	-0.013	14	-0.001	-0.001	0.898	0.899	0	0	PASS
0.33974210	64	1	0.004	7	0.895	0.890	0.097	0.102	3.833	3.862	-0.029	-0.008	30	0.000	0.000	0.917	0.917	0	0	PASS
0.33974210	64	2	0.007	25	0.680	0.672	0.310	0.326	8.167	8.149	0.017	-0.016	25	0.000	0.000	0.898	0.899	0	0	PASS
0.33974210	64	3	0.005	61	0.711	0.706	0.300	0.306	7.667	7.681	-0.014	-0.014	48	0.000	0.001	0.866	0.867	0	0	PASS
0.33974210	64	4	0.010	38	0.627	0.617	0.429	0.440	9.333	9.457	-0.123	-0.012	40	0.000	0.000	0.883	0.883	0	0	PASS
0.33974210	64	5	0.006	57	0.850	0.843	0.130	0.138	5.833	5.902	-0.069	-0.015	33	0.000	0.000	0.905	0.906	0	0	PASS
0.33974210	128	1	0.004	95	0.814	0.810	0.163	0.171	7.000	7.090	-0.090	-0.008	95	0.000	0.000	0.926	0.926	0	0	PASS
0.33974210	128	2	0.006	25	0.747	0.741	0.194	0.205	8.833	8.845	-0.011	-0.011	25	0.000	0.000	0.912	0.913	0	0	PASS
0.33974210	128	3	0.005	61	0.792	0.787	0.134	0.135	8.000	8.107	-0.107	-0.007	109	0.000	0.000	0.887	0.888	0	0	PASS
0.33974210	128	4	0.007	38	0.709	0.702	0.270	0.281	9.333	9.457	-0.123	-0.012	38	0.000	0.000	0.902	0.902	0	0	PASS
0.33974210	128	5	0.003	57	0.851	0.848	0.075	0.074	6.333	6.303	0.030	-0.010	47	0.000	0.000	0.909	0.909	0	0	PASS
0.33974210	256	1	0.004	215	0.808	0.804	0.153	0.161	8.000	8.079	-0.079	-0.009	215	0.000	0.000	0.933	0.933	0	0	PASS
0.33974210	256	2	0.004	124	0.872	0.868	0.074	0.079	6.667	6.795	-0.129	-0.007	220	0.000	0.000	0.922	0.922	0	0	PASS
0.33974210	256	3	0.004	39	0.863	0.859	0.044	0.046	6.333	6.477	-0.144	-0.009	163	0.000	0.000	0.898	0.899	0	0	PASS
0.33974210	256	4	0.005	38	0.779	0.774	0.151	0.158	9.333	9.457	-0.123	-0.008	102	0.000	0.000	0.909	0.909	0	0	PASS
0.33974210	256	5	0.005	253	0.851	0.846	0.116	0.125	7.833	7.878	-0.045	-0.009	253	0.000	0.000	0.913	0.913	0	0	PASS
0.4	16	1	0.006	6	0.870	0.865	0.256	0.261	3.333	3.417	-0.084	-0.009	4	-0.001	0.001	0.876	0.877	0	0	PASS
0.4	16	2	0.007	14	0.803	0.795	0.299	0.315	3.667	3.786	-0.120	-0.016	14	-0.001	0.003	0.877	0.878	0	0	PASS
0.4	16	3	0.015	9	0.717	0.702	0.486	0.504	4.500	4.637	-0.137	-0.018	9	-0.001	-0.001	0.758	0.759	0	0	PASS
0.4	16	4	0.011	0	0.758	0.747	0.396	0.410	5.500	5.540	-0.040	-0.019	14	0.002	-0.005	0.845	0.843	0	0	PASS
0.4	16	5	0.007	14	0.834	0.827	0.297	0.318	3.167	3.204	-0.037	-0.021	14	0.000	-0.002	0.897	0.897	0	1	PASS
0.4	32	1	0.006	30	0.868	0.862	0.212	0.222	4.500	4.509	-0.009	-0.010	30	0.000	-0.001	0.904	0.904	0	0	PASS
0.4	32	2	0.011	25	0.556	0.546	0.436	0.458	8.000	8.134	-0.134	-0.022	25	0.000	0.000	0.879	0.880	0	1	PASS
0.4	32	3	0.006	19	0.884	0.879	0.168	0.173	3.333	3.433	-0.100	-0.013	9	-0.002	0.002	0.837	0.840	0	0	PASS
0.4	32	4	0.012	25	0.758	0.745	0.365	0.380	5.000	5.074	-0.074	-0.015	14	0.001	-0.002	0.886	0.884	0	0	PASS
0.4	32	5	0.005	11	0.913	0.909	0.131	0.139	3.167	3.238	-0.072	-0.013	14	-0.001	-0.001	0.898	0.899	0	0	PASS
0.4	64	1	0.004	7	0.895	0.890	0.097	0.102	3.833	3.862	-0.029	-0.008	30	0.000	0.000	0.917	0.917	0	0	PASS
0.4	64	2	0.007	25	0.680	0.672	0.310	0.326	8.167	8.149	0.017	-0.016	25	0.000	0.000	0.898	0.899	0	0	PASS
0.4	64	3	0.005	61	0.711	0.706	0.300	0.306	7.667	7.681	-0.014	-0.014	48	0.000	0.001	0.866	0.867	0	0	PASS
0.4	64	4	0.010	38	0.627	0.617	0.429	0.440	9.333	9.457	-0.123	-0.012	40	0.000	0.000	0.883	0.883	0	0	PASS
0.4	64	5	0.006	57	0.850	0.843	0.130	0.138	5.833	5.902	-0.069	-0.015	33	0.000	0.000	0.905	0.906	0	0	PASS
0.4	128	1	0.004	95	0.814	0.810	0.163	0.171	7.000	7.090	-0.090	-0.008	95	0.000	0.000	0.926	0.926	0	0	PASS
0.4	128	2	0.006	25	0.747	0.741	0.194	0.205	8.833	8.845	-0.011	-0.011	25	0.000	0.000	0.912	0.913	0	0	PASS
0.4	128	3	0.005	61	0.792	0.787	0.134	0.135	8.000	8.107	-0.107	-0.007	109	0.000	0.000	0.887	0.888	0	0	PASS
0.4	128	4	0.007	38	0.709	0.702	0.270	0.281	9.333	9.457	-0.123	-0.012	38	0.000	0.000	0.902	0.902	0	0	PASS
0.4	128	5	0.003	57	0.851	0.848	0.075	0.074	6.333	6.303	0.030	-0.010	47	0.000	0.000	0.909	0.909	0	0	PASS
0.4	256	1	0.004	215	0.808	0.804	0.153	0.161	8.000	8.079	-0.079	-0.009	215	0.000	0.000	0.933	0.933	0	0	PASS
0.4	256	2	0.004	124	0.872	0.868	0.074	0.079	6.667	6.795	-0.129	-0.007	220	0.000	0.000	0.922	0.922	0	0	PASS
0.4	256	3	0.004	39	0.863	0.859	0.044	0.046	6.333	6.477	-0.144	-0.009	163	0.000	0.000	0.898	0.899	0	0	PASS
0.4	256	4	0.005	38	0.779	0.774	0.151	0.158	9.333	9.457	-0.123	-0.008	102	0.000	0.000	0.909	0.909	0	0	PASS
0.4	256	5	0.005	253	0.851	0.846	0.116	0.125	7.833	7.878	-0.045	-0.009	253	0.000	0.000	0.913	0.913	0	0	PASS
