L	seed	result	soft_mae	soft_max	soft_max_ulps	soft_mae_ulps	final_mae	final_max	final_max_over_tol	n_over_tol
16	1	PASS	0.002	0.005	0.653	0.263	0.004	0.012	0.300	0
16	2	PASS	0.002	0.005	0.615	0.260	0.004	0.012	0.318	0
16	3	PASS	0.002	0.005	0.696	0.265	0.004	0.012	0.297	0
16	4	PASS	0.002	0.005	0.615	0.260	0.004	0.013	0.323	0
16	5	PASS	0.002	0.005	0.645	0.256	0.004	0.012	0.307	0
32	1	PASS	0.002	0.005	0.648	0.255	0.004	0.012	0.313	0
32	2	PASS	0.002	0.005	0.653	0.254	0.003	0.012	0.320	0
32	3	PASS	0.002	0.005	0.619	0.266	0.004	0.014	0.367	0
32	4	PASS	0.002	0.005	0.670	0.256	0.004	0.011	0.294	0
32	5	PASS	0.002	0.005	0.620	0.246	0.004	0.013	0.331	0
64	1	PASS	0.002	0.005	0.608	0.259	0.004	0.016	0.421	0
64	2	PASS	0.002	0.005	0.627	0.265	0.004	0.015	0.385	0
64	3	PASS	0.002	0.005	0.649	0.258	0.004	0.014	0.350	0
64	4	PASS	0.002	0.005	0.619	0.259	0.004	0.013	0.339	0
64	5	PASS	0.002	0.005	0.628	0.262	0.004	0.015	0.390	0
128	1	PASS	0.002	0.005	0.636	0.275	0.004	0.014	0.348	0
128	2	PASS	0.002	0.005	0.638	0.271	0.004	0.017	0.428	0
128	3	PASS	0.002	0.005	0.646	0.259	0.004	0.014	0.369	0
128	4	PASS	0.002	0.005	0.650	0.261	0.004	0.016	0.398	0
128	5	PASS	0.002	0.005	0.650	0.270	0.004	0.015	0.381	0
256	1	PASS	0.002	0.005	0.662	0.273	0.004	0.017	0.441	0
256	2	PASS	0.002	0.005	0.681	0.263	0.004	0.018	0.460	0
256	3	PASS	0.002	0.005	0.687	0.245	0.004	0.015	0.376	0
256	4	PASS	0.002	0.005	0.689	0.252	0.004	0.016	0.419	0
256	5	PASS	0.002	0.005	0.667	0.256	0.004	0.016	0.401	0
