case	L	seed	result	soft_mae	soft_max	soft_max_ulps	soft_mae_ulps	final_mae	final_max	final_max_over_tol	n_over_tol
random	16	1	PASS	0.003	0.023	2.950	0.389	0.003	0.012	0.300	0
random	16	2	PASS	0.003	0.034	4.370	0.396	0.004	0.014	0.350	0
random	16	3	PASS	0.004	0.057	7.247	0.541	0.004	0.012	0.297	0
random	16	4	PASS	0.003	0.033	4.186	0.429	0.004	0.013	0.323	0
random	16	5	PASS	0.003	0.023	2.888	0.369	0.004	0.015	0.379	0
random	32	1	PASS	0.002	0.042	5.377	0.308	0.004	0.012	0.313	0
random	32	2	PASS	0.002	0.033	4.218	0.319	0.003	0.012	0.313	0
random	32	3	PASS	0.003	0.082	10.439	0.372	0.004	0.014	0.367	0
random	32	4	PASS	0.002	0.032	4.055	0.312	0.004	0.013	0.331	0
random	32	5	PASS	0.002	0.031	3.921	0.300	0.004	0.014	0.364	0
random	64	1	PASS	0.002	0.027	3.443	0.280	0.004	0.013	0.344	0
random	64	2	PASS	0.002	0.070	9.015	0.298	0.004	0.015	0.389	0
random	64	3	PASS	0.002	0.084	10.693	0.309	0.004	0.013	0.339	0
random	64	4	PASS	0.002	0.083	10.611	0.296	0.004	0.016	0.415	0
random	64	5	PASS	0.002	0.041	5.289	0.292	0.004	0.015	0.390	0
random	128	1	PASS	0.002	0.034	4.410	0.301	0.004	0.014	0.348	0
random	128	2	PASS	0.002	0.116	14.825	0.304	0.004	0.017	0.428	0
random	128	3	PASS	0.002	0.072	9.204	0.295	0.004	0.015	0.382	0
random	128	4	PASS	0.002	0.123	15.717	0.292	0.004	0.016	0.398	0
random	128	5	PASS	0.002	0.037	4.702	0.304	0.004	0.016	0.405	0
random	256	1	PASS	0.003	0.098	12.552	0.349	0.004	0.018	0.462	0
random	256	2	PASS	0.003	0.070	8.939	0.337	0.004	0.015	0.396	0
random	256	3	PASS	0.002	0.146	18.741	0.310	0.004	0.015	0.380	0
random	256	4	PASS	0.002	0.126	16.066	0.318	0.004	0.015	0.382	0
random	256	5	PASS	0.003	0.071	9.029	0.327	0.004	0.016	0.418	0
