L	seed	result	soft_mae	soft_max	soft_max_ulps	soft_mae_ulps	final_mae	final_max	final_max_over_tol	n_over_tol
16	1	PASS	0.003	0.014	1.809	0.384	0.004	0.012	0.300	0
16	2	PASS	0.003	0.018	2.252	0.354	0.004	0.012	0.318	0
16	3	PASS	0.003	0.035	4.419	0.435	0.004	0.012	0.297	0
16	4	PASS	0.003	0.029	3.672	0.417	0.004	0.011	0.286	0
16	5	PASS	0.003	0.013	1.701	0.369	0.004	0.015	0.379	0
32	1	PASS	0.002	0.013	1.638	0.298	0.004	0.012	0.313	0
32	2	PASS	0.002	0.016	2.026	0.308	0.003	0.012	0.304	0
32	3	PASS	0.003	0.036	4.561	0.340	0.004	0.014	0.367	0
32	4	PASS	0.002	0.022	2.754	0.317	0.004	0.011	0.294	0
32	5	PASS	0.002	0.014	1.783	0.294	0.004	0.013	0.328	0
64	1	PASS	0.002	0.014	1.738	0.273	0.004	0.013	0.344	0
64	2	PASS	0.002	0.025	3.225	0.283	0.004	0.015	0.385	0
64	3	PASS	0.002	0.028	3.574	0.278	0.004	0.015	0.373	0
64	4	PASS	0.002	0.026	3.389	0.277	0.004	0.015	0.396	0
64	5	PASS	0.002	0.016	2.093	0.278	0.004	0.015	0.390	0
128	1	PASS	0.002	0.014	1.825	0.279	0.004	0.014	0.361	0
128	2	PASS	0.002	0.026	3.375	0.276	0.004	0.014	0.348	0
128	3	PASS	0.002	0.020	2.522	0.265	0.004	0.015	0.382	0
128	4	PASS	0.002	0.027	3.433	0.267	0.004	0.016	0.398	0
128	5	PASS	0.002	0.014	1.855	0.275	0.004	0.015	0.381	0
256	1	PASS	0.002	0.020	2.550	0.275	0.004	0.017	0.441	0
256	2	PASS	0.002	0.016	1.989	0.264	0.004	0.018	0.460	0
256	3	PASS	0.002	0.039	5.044	0.247	0.004	0.015	0.379	0
256	4	PASS	0.002	0.024	3.071	0.254	0.004	0.016	0.419	0
256	5	PASS	0.002	0.014	1.769	0.257	0.004	0.018	0.464	0
